S,iter,residual
0.0,1,3.0040464830527096
0.0,2,1.4596561853436378
0.0,3,0.7061260239928123
0.0,4,0.34348750152527474
0.0,5,0.16735538816168802
0.0,6,0.0819469594044747
0.0,7,0.04028569343970318
0.0,8,0.01982118035939652
0.0,9,0.009774619967453614
0.0,10,0.004839329737908593
0.0,11,0.0023971663036551176
0.0,12,0.0011880157227679997
0.0,13,0.0005890344518244725
0.0,14,0.0002921714821959519
0.0,15,0.00014506126728727086
0.0,16,7.214124580262062e-05
0.0,17,3.589967320738669e-05
0.0,18,1.7868116565969925e-05
0.0,19,8.894909001619908e-06
0.0,20,4.428660137394301e-06
0.0,21,2.2052891925666537e-06
0.0,22,1.098287067049637e-06
0.0,23,5.470393547586767e-07
0.0,24,2.725017892055264e-07
0.0,25,1.3575765269575524e-07
0.0,26,6.763942527112305e-08
0.0,27,3.37033421010135e-08
0.0,28,1.6795019578084414e-08
0.0,29,8.369894933801774e-09
0.0,30,4.17318673700712e-09
0.0,31,2.0815688210122263e-09
0.0,32,1.0385497904999703e-09
0.0,33,5.181778528105444e-10
0.0,34,2.5855083897668486e-10
0.0,35,1.2900918607628015e-10
0.0,36,6.437501035524934e-11
0.04,1,1.288372001199936e-05
0.04,2,5.839454357532546e-06
0.04,3,2.713657426446529e-06
0.04,4,1.2784100551503084e-06
0.04,5,6.135043057700894e-07
0.04,6,2.95497973436794e-07
0.04,7,1.4347722332161092e-07
0.04,8,7.010536789795474e-08
0.04,9,3.431044597771212e-08
0.04,10,1.6815499251523385e-08
0.04,11,8.251258922501158e-09
0.04,12,4.064787618735132e-09
0.04,13,2.0077505588463194e-09
0.04,14,9.922659185978186e-10
0.04,15,4.906509035061167e-10
0.04,16,2.427278884296387e-10
0.04,17,1.2012188161619474e-10
0.04,18,5.947222430671006e-11
0.1,1,1.962308187312095e-05
0.1,2,8.898917740717844e-06
0.1,3,4.138119053385047e-06
0.1,4,1.951392636508132e-06
0.1,5,9.363622660164545e-07
0.1,6,4.511228848845486e-07
0.1,7,2.1913931675256984e-07
0.1,8,1.0709387179657182e-07
0.1,9,5.2421786726415604e-08
0.1,10,2.5695907507570422e-08
0.1,11,1.2618460515126088e-08
0.1,12,6.216440215189294e-09
0.1,13,3.070125266258204e-09
0.1,14,1.517474502922349e-09
0.1,15,7.504218685510303e-10
0.1,16,3.712715819342262e-10
0.1,17,1.8376032824539585e-10
0.1,18,9.098882029870185e-11
0.2,1,3.461498314976241e-05
0.2,2,1.5724072752914916e-05
0.2,3,7.328045322789079e-06
0.2,4,3.466492034912928e-06
0.2,5,1.6629085711841632e-06
0.2,6,8.024725486961479e-07
0.2,7,3.9039245100355837e-07
0.2,8,1.9074794829579635e-07
0.2,9,9.341544699610292e-08
0.2,10,4.581125553181045e-08
0.2,11,2.255813610115272e-08
0.2,12,1.112157289333081e-08
0.2,13,5.487189835499094e-09
0.2,14,2.7125233233211686e-09
0.2,15,1.3417867531655935e-09
0.2,16,6.640276042152477e-10
0.2,17,3.2875514316320026e-10
0.2,18,1.6281794415895003e-10
0.2,19,8.066650298905726e-11
0.4,1,8.943542070583691e-05
0.4,2,4.1060321838594224e-05
0.4,3,1.926091925878132e-05
0.4,4,9.206232622564165e-06
0.4,5,4.427653275113243e-06
0.4,6,2.1552675381599797e-06
0.4,7,1.052543845281237e-06
0.4,8,5.149730581815438e-07
0.4,9,2.5301795605890735e-07
0.4,10,1.2481666316599402e-07
0.4,11,6.162433742382824e-08
0.4,12,3.044706664508699e-08
0.4,13,1.5052707481242234e-08
0.4,14,7.446090800442631e-09
0.4,15,3.6856367456175685e-09
0.4,16,1.8266831888158633e-09
0.4,17,9.072029828489987e-10
0.4,18,4.506705366101377e-10
0.4,19,2.2392505321396598e-10
0.4,20,1.112857916694503e-10
0.4,21,5.5316243109482794e-11
0.6,1,0.0005264643320691978
0.6,2,0.00025302109426942807
0.6,3,0.00012299933776056948
0.6,4,6.01417564386665e-05
0.6,5,2.9529680045576994e-05
0.6,6,1.4529467933971879e-05
0.6,7,7.170336597203296e-06
0.6,8,3.5406123665955944e-06
0.6,9,1.749182500497309e-06
0.6,10,8.650946184449452e-07
0.6,11,4.284587539342962e-07
0.6,12,2.1225897719138272e-07
0.6,13,1.0517761068043602e-07
0.6,14,5.212796365324908e-08
0.6,15,2.584043827290394e-08
0.6,16,1.2811583258060186e-08
0.6,17,6.352919576068338e-09
0.6,18,3.151503626717556e-09
0.6,19,1.5644742651903427e-09
0.6,20,7.76712758828921e-10
0.6,21,3.856410057317641e-10
0.6,22,1.9148935797807522e-10
0.6,23,9.508838982092251e-11
